Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
20180003150,1/2/2018 10:00:00 AM,2,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,709 5TH AVS,NASHVILLE,TN,CENTRA,36.15213,-86.77299,14,PARKED MOTOR VEHICLE,81,37203,4027,21,3,11,191573,-9659525.0614,4321574.4668
20180003471,1/2/2018 12:00:00 PM,1,0,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,MURFREESBORO PKE & OLD MURFREESBORO PKE,NASHVILLE,TN,SOUTH,36.10446,-86.66893,18;34;7,OTHER OBJECT (NOT FIXED);DITCH,82,37217,8849,21,3,0,267339,-9647941.1552,4315004.443
20180003478,1/2/2018 12:15:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,GREER RD & GREER RD PVTDR,GOODLETTSVILLE,TN,MADISO,36.35657,-86.77866,32;40,CULVERT;MAIL BOX,83,37072,2203,21,1,0,279213,-9660156.2429,4349796.4286
20180003521,1/2/2018 12:55:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,OLD HICKORY BLVD & SEVEN SPRINGS WAY,BRENTWOOD,TN,MIDTOW,36.04028,-86.76837,12,MOTOR VEHICLE IN TRANSPORT,84,37027,8619,21,1,11,462474,-9659010.7654,4306165.2543
20180003623,1/2/2018 1:55:00 PM,3,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,MM 205 6 I 40,NASHVILLE,TN,WEST,36.15551,-86.82837,12,MOTOR VEHICLE IN TRANSPORT,85,37209,5228,21,1,11,226622,-9665689.9348,4322040.4602
20180003647,1/2/2018 2:01:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,MURFREESBORO PKE & DELL PKWY,NASHVILLE,TN,SOUTH,36.10779,-86.67687,12,MOTOR VEHICLE IN TRANSPORT,86,37217,8841,21,1,11,226207,-9648825.032,4315463.2641
20180003678,1/2/2018 2:05:00 PM,2,0,0,Y,Y,SIDESWIPE - OPPOSITE DIRECTION,CLEAR,DAYLIGHT,PREMIER DR & MERCOMATIC DR,NASHVILLE,TN,WEST,36.14682,-86.87657,12;40,MOTOR VEHICLE IN TRANSPORT;MAIL BOX,87,37209,5023,21,1,6,405391,-9671055.5343,4320842.429
20180003682,1/2/2018 1:58:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,DICKERSON PKE & GRACE ST,NASHVILLE,TN,EAST,36.18358,-86.77382,30,UTILITY POLE,88,37207,1963,21,1,0,902543,-9659617.4566,4325911.1877
20180003696,1/2/2018 2:23:00 PM,2,1,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,MM 212 4 I 40,NASHVILLE,TN,HERMIT,36.14414,-86.73894,16;29;72,THROWN OR FALLING OBJECT;LUMINAIRE/LIGHT SUPPORT;EMBANKMENT ROCK/STONE/CONCRETE,89,37210,82060,21,1,0,191578,-9655734.6327,4320472.9824
20180003777,1/2/2018 2:59:00 PM,2,0,0,Y,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,ELLINGTON PKWYN & ELLINGTON PKWYS,NASHVILLE,TN,EAST,36.17917,-86.76285,12;24,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE,90,37216,1890,21,1,5,571316,-9658396.2818,4325302.9766
20180003819,1/2/2018 3:11:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,CHARLOTTE AV & 14TH AVN,NASHVILLE,TN,MIDTOW,36.16076,-86.79369,12,MOTOR VEHICLE IN TRANSPORT,91,37203,5501,21,1,4,594473,-9661829.3749,4322764.3064
20180003865,1/2/2018 3:31:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,2909 ELM HILL PKE,NASHVILLE,TN,HERMIT,36.14472,-86.6577,40,MAIL BOX,92,37214,9411,21,1,0,299254,-9646691.0373,4320552.9362
20180003887,1/2/2018 3:00:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,3RD AVN & COMMERCE ST,NASHVILLE,TN,CENTRA,36.16345,-86.77722,14,PARKED MOTOR VEHICLE,93,37201,4105,21,1,5,224953,-9659995.9429,4323135.2101
20180003912,1/2/2018 3:45:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,BERKLEY DR & BARRY DR,MADISON,TN,MADISO,36.24636,-86.71825,24,GUARDRAIL FACE,94,37115,1519,21,1,0,420035,-9653431.4325,4334573.2931
20180003935,1/2/2018 3:51:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,I40 E ENT RAMP & BROADWAY,NASHVILLE,TN,MIDTOW,36.15565,-86.78972,12,MOTOR VEHICLE IN TRANSPORT,95,37203,5701,21,1,4,630627,-9661387.4365,4322059.7621
20180003937,1/2/2018 3:55:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,NOLENSVILLE PKE & OLD HICKORY BLVD,NASHVILLE,TN,SOUTH,36.04645,-86.71339,12,MOTOR VEHICLE IN TRANSPORT,96,37211,8717,21,1,11,298878,-9652890.4198,4307014.7042
20180003946,1/2/2018 3:58:00 PM,2,0,0,,Y,ANGLE,CLEAR,DAYLIGHT,LERA JONES DR & OWENDALE DR,NASHVILLE,TN,HERMIT,36.07982,-86.62171,12,MOTOR VEHICLE IN TRANSPORT,97,37217,8981,21,1,4,137982,-9642684.6488,4311610.0466
20180003977,1/2/2018 4:12:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,ANTIOCH PKE & HAYWOOD LN,ANTIOCH,TN,SOUTH,36.07001,-86.68437,12,MOTOR VEHICLE IN TRANSPORT,98,37013,8899,21,1,4,716886,-9649659.9281,4310258.9211
20180004094,1/2/2018 4:59:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,MURFREESBORO PKE & EZELL PKE,NASHVILLE,TN,SOUTH,36.10562,-86.6718,12,MOTOR VEHICLE IN TRANSPORT,99,37217,8849,21,1,4,225805,-9648260.6421,4315164.2704
20180004104,1/2/2018 5:00:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,W LONGDALE DR & E LONGDALE DR,NASHVILLE,TN,MIDTOW,36.07773,-86.74589,14,PARKED MOTOR VEHICLE,100,37211,8605,21,1,11,226136,-9656508.3032,4311322.178
20180004128,1/1/2018 6:00:00 AM,2,0,0,,Y,UNKNOWN,UNKNOWN,UNKNOWN,ROYAL OAKS CONDOS PVTDR & WOODMONT BLVD,NASHVILLE,TN,WEST,36.12331,-86.84773,14,PARKED MOTOR VEHICLE,101,37205,6101,99,9,9,343522,-9667845.0802,4317601.9302
20180004205,1/2/2018 5:40:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,WEST END AV & 25TH AVS,NASHVILLE,TN,MIDTOW,36.14697,-86.80836,12,MOTOR VEHICLE IN TRANSPORT,102,37212,5717,21,1,5,226136,-9663462.4318,4320863.1073
20180004225,1/2/2018 5:39:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,SEVERE CROSSWIND,DAYLIGHT,MM 34 8 I 24,JOELTON,TN,NORTH,36.32436,-86.87102,12,MOTOR VEHICLE IN TRANSPORT,103,37080,33160,10,1,5,414668,-9670437.7111,4345345.0859
20180004227,1/2/2018 5:45:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,HART LN & WHITNEY PARK DR,NASHVILLE,TN,EAST,36.22052,-86.75373,12,MOTOR VEHICLE IN TRANSPORT,104,37207,1887,21,1,4,714648,-9657381.048,4331007.163
20180004249,1/2/2018 6:00:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,DAVIDSON RD & POST RD,NASHVILLE,TN,WEST,36.11525,-86.86278,12,MOTOR VEHICLE IN TRANSPORT,105,37205,5001,21,1,4,226622,-9669520.4385,4316491.2042
20180004285,1/2/2018 6:03:00 PM,2,0,0,,N,,,,GALLATIN AV & EASTLAND AV,NASHVILLE,TN,EAST,36.18402,-86.74828,,,106,37206,1243,,,,468030,-9656774.3568,4325971.8728
20180004315,1/2/2018 5:57:00 PM,2,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,MURFREESBORO PKE & UNA ANTIOCH PKE,NASHVILLE,TN,HERMIT,36.08583,-86.64808,12;33;63,MOTOR VEHICLE IN TRANSPORT;CURB;Ran Off Road-Right,107,37217,8937,21,1,5,267339,-9645620.1438,4312437.8837
20180004359,1/2/2018 7:00:00 PM,2,0,0,,Y,ANGLE,CLEAR,DAYLIGHT,NOLENSVILLE PKE & ANTIOCH PKE,NASHVILLE,TN,SOUTH,36.10183,-86.74058,12,MOTOR VEHICLE IN TRANSPORT,108,37211,8427,21,1,4,716886,-9655917.1967,4314642.0845
20180004381,1/2/2018 6:31:00 PM,2,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,MM 211 8 I 40,NASHVILLE,TN,HERMIT,36.14876,-86.74636,12,MOTOR VEHICLE IN TRANSPORT,109,37210,90022,21,1,5,191578,-9656560.6234,4321109.8721
20180004412,1/2/2018 6:11:00 PM,2,0,0,,Y,Front to Rear,CLEAR,DAYLIGHT,HIGHWAY 70S & HICKS RD,NASHVILLE,TN,WEST,36.07394,-86.92541,12,MOTOR VEHICLE IN TRANSPORT,110,37221,4811,21,1,11,226622,-9676492.3782,4310800.1774
20180004418,1/2/2018 7:01:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,CHARLOTTE PKE & OCEOLA AV,NASHVILLE,TN,WEST,36.14967,-86.85993,12,MOTOR VEHICLE IN TRANSPORT,111,37209,5025,21,1,4,267831,-9669203.1779,4321235.3245
20180004446,1/2/2018 6:48:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,OLD HICKORY BLVD & LEBANON PKE,OLD HICKORY,TN,HERMIT,36.19862,-86.62032,12,MOTOR VEHICLE IN TRANSPORT,112,37138,9739,21,1,11,137982,-9642529.9148,4327985.7071
20180004453,1/2/2018 7:15:00 PM,1,1,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,BLAIR BLVD & 21ST AVS,NASHVILLE,TN,MIDTOW,36.13045,-86.80249,8,PEDESTRIAN,113,37212,5909,21,1,0,226136,-9662808.9864,4318585.9688
20180004474,1/2/2018 7:21:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,BELL RD & HICKORY HOLLOW MALL PVTDR PL,ANTIOCH,TN,SOUTH,36.04941,-86.65134,12,MOTOR VEHICLE IN TRANSPORT,114,37013,8863,21,1,5,225805,-9645983.0454,4307422.2434
20180004555,1/2/2018 8:00:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,I24 E ENT RAMP & I 24,NASHVILLE,TN,CENTRA,36.06644,-86.68662,12,MOTOR VEHICLE IN TRANSPORT,115,37213,1007,21,1,4,716886,-9649910.397,4309767.2689
20180004593,1/2/2018 7:51:00 PM,2,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,GALLATIN PKES & MAPLE ST,MADISON,TN,MADISO,36.26124,-86.71253,12,MOTOR VEHICLE IN TRANSPORT,116,37115,1607,21,1,5,493304,-9652794.685,4336627.389
20180004641,1/2/2018 8:05:00 PM,2,0,0,,Y,Front to Rear,CLEAR,DAYLIGHT,LEBANON PKE & MCGAVOCK PKE,NASHVILLE,TN,HERMIT,36.16936,-86.67989,12,MOTOR VEHICLE IN TRANSPORT,117,37214,9201,21,1,11,137982,-9649161.2168,4323950.14
20180004655,1/2/2018 8:35:00 PM,2,0,0,,N,REAR-TO-REAR,CLEAR,DAYLIGHT,MURFREESBORO PKE & PINEWAY DR,NASHVILLE,TN,SOUTH,36.11178,-86.69257,12,MOTOR VEHICLE IN TRANSPORT,118,37217,8835,21,1,3,226095,-9650572.748,4316013.0483
20180004698,1/2/2018 6:00:00 AM,2,0,0,,Y,OTHER,CLEAR,DARK - LIGHTED,NUBELL ST & 23RD AVN,NASHVILLE,TN,NORTH,36.18869,-86.8141,14,PARKED MOTOR VEHICLE,119,37208,4489,21,3,98,197070,-9664101.4057,4326615.9831
20180004701,1/2/2018 8:40:00 PM,3,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,HARDING PL & HUMBER DR,NASHVILLE,TN,SOUTH,36.08114,-86.71533,12,MOTOR VEHICLE IN TRANSPORT,120,37211,8705,21,1,11,716886,-9653106.3796,4311791.8623
20180004714,1/2/2018 8:55:00 PM,2,1,0,,N,Front to Rear,CLEAR,DAYLIGHT,MM 54 3 I 24,NASHVILLE,TN,SOUTH,36.10314,-86.71453,12,MOTOR VEHICLE IN TRANSPORT,121,37211,84020,21,1,11,256414,-9653017.324,4314822.5734
20180004722,1/2/2018 9:02:00 PM,2,1,0,,N,Front to Rear,CLEAR,DAYLIGHT,RECOVERY RD & HARDING PL,NASHVILLE,TN,SOUTH,36.0804,-86.71793,12,MOTOR VEHICLE IN TRANSPORT,122,37211,8705,21,1,11,240970,-9653395.8102,4311689.9349
20180004727,1/2/2018 9:06:00 PM,1,1,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,BENJAMIN ST & SCOTT AV,NASHVILLE,TN,EAST,36.18617,-86.73404,30,UTILITY POLE,123,37206,1345,21,1,0,197047,-9655189.1672,4326268.407
20180004729,1/2/2018 8:35:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,KENNER AV & RIDGEFIELD DR,NASHVILLE,TN,WEST,36.12401,-86.84472,12,MOTOR VEHICLE IN TRANSPORT,124,37205,6021,21,1,4,414711,-9667510.0085,4317698.4006
20180004730,1/2/2018 9:06:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,DICKERSON PKE & MAPLEWOOD TRC,NASHVILLE,TN,EAST,36.23314,-86.75866,12,MOTOR VEHICLE IN TRANSPORT,125,37216,1805,21,1,4,197435,-9657929.8531,4332748.6784
20180004740,1/3/2019 1:51:00 AM,2,0,0,,Y,ANGLE,RAIN,DARK - LIGHTED,HARDING PL & SEVEN MILE CREEK HARDING MA,NASHVILLE,TN,SOUTH,36.07985,-86.72538,12,MOTOR VEHICLE IN TRANSPORT,126,37211,8705,2,3,4,279124,-9654225.1405,4311614.1787
20180004758,1/2/2018 9:10:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,LEBANON PKE & SHUTE LN,HERMITAGE,TN,HERMIT,36.21513,-86.60274,12,MOTOR VEHICLE IN TRANSPORT,127,37076,9535,21,1,11,179604,-9640572.9181,4330263.4477
20180004776,1/2/2018 9:40:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,I24 W EXT RAMP & I 24,NASHVILLE,TN,SOUTH,36.08646,-86.69869,12,MOTOR VEHICLE IN TRANSPORT,128,37211,8829,21,1,11,240943,-9651254.0232,4312524.6656
20180004786,1/2/2018 9:28:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,8TH AVS & BROADWAY,NASHVILLE,TN,CENTRA,36.15889,-86.78211,12,MOTOR VEHICLE IN TRANSPORT,129,37203,4085,21,1,5,212315,-9660540.2952,4322506.4737
20180004789,1/2/2018 9:10:00 PM,2,0,0,,N,,,,MM 82 2 I 65,NASHVILLE,TN,MIDTOW,36.14548,-86.7775,,,130,37203,6804,,,,212318,-9660027.1123,4320657.7041
20180004819,1/2/2018 9:37:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,RIVERGATE MARKETPLACE PVTDR & GALLATIN P,MADISON,TN,MADISO,36.30275,-86.69185,12,MOTOR VEHICLE IN TRANSPORT,131,37115,1731,21,1,5,151132,-9650492.5979,4342359.6684
20180004838,1/2/2018 9:40:00 PM,2,0,0,,N,,,,WHARF AV & LAFAYETTE ST,NASHVILLE,TN,SOUTH,36.14866,-86.7625,,,132,37210,8147,,,,256426,-9658357.32,4321096.0862
20180004849,1/2/2018 9:47:00 PM,3,1,0,,N,ANGLE,CLEAR,DAYLIGHT,HARDING PL & SIDCO DR,NASHVILLE,TN,MIDTOW,36.0821,-86.7617,12,MOTOR VEHICLE IN TRANSPORT,133,37220,8601,21,1,4,298874,-9658268.2644,4311924.0938
20180004853,1/2/2018 9:48:00 PM,2,1,0,,N,ANGLE,CLEAR,DAYLIGHT,MURFREESBORO PKE & ARLINGTON AV,NASHVILLE,TN,SOUTH,36.13905,-86.73301,12,MOTOR VEHICLE IN TRANSPORT,134,37210,8159,21,1,4,137982,-9655074.5082,4319771.3443
20180004862,1/2/2018 6:00:00 AM,2,2,0,,N,SIDESWIPE - OPPOSITE DIRECTION,CLEAR,DAYLIGHT,BAPTIST WORLD CENTER DR & WEAKLEY AV,NASHVILLE,TN,NORTH,36.19643,-86.78255,12,MOTOR VEHICLE IN TRANSPORT,135,37207,3001,21,1,6,197070,-9660589.2757,4327683.6081
20180004869,1/2/2018 9:54:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,HARDING PL & SIDCO DR,NASHVILLE,TN,MIDTOW,36.0821,-86.7617,12,MOTOR VEHICLE IN TRANSPORT,136,37220,8601,21,1,5,240957,-9658268.2644,4311924.0938
20180004904,1/2/2018 10:06:00 PM,2,1,0,,Y,Front to Rear,CLEAR,DAYLIGHT,MM 211 0 I 40,NASHVILLE,TN,HERMIT,36.15437,-86.75978,12,MOTOR VEHICLE IN TRANSPORT,137,37210,82020,21,1,11,279225,-9658054.5309,4321883.2886
20180004927,1/2/2018 10:14:00 PM,2,0,0,,N,,,,MM 78 4 I 65,NASHVILLE,TN,MIDTOW,36.09163,-86.76275,,,138,37204,8502,,,,256505,-9658385.1498,4313236.8546
20180004975,1/2/2018 10:27:00 PM,3,1,0,,N,Front to Rear,CLEAR,DAYLIGHT,MM 218 0 I 40,NASHVILLE,TN,HERMIT,36.14128,-86.66719,12,MOTOR VEHICLE IN TRANSPORT,139,37217,89020,21,1,11,197054,-9647747.4593,4320078.7361
20180004986,1/2/2018 10:30:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,WEST END AV & ACKLEN PARK DR,NASHVILLE,TN,MIDTOW,36.14074,-86.81757,12,MOTOR VEHICLE IN TRANSPORT,140,37203,5627,21,1,4,134869,-9664487.6843,4320004.2996
20180005000,1/2/2018 6:00:00 AM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,ROSA L PARKS BLVD & GREAT CIRCLE RD,NASHVILLE,TN,NORTH,36.19359,-86.80618,12,MOTOR VEHICLE IN TRANSPORT,141,37228,4443,21,1,11,197070,-9663219.7553,4327291.8574
20180005040,1/2/2018 10:52:00 PM,2,1,0,,N,ANGLE,CLEAR,DUSK,MCCRORY CREEK RD & JONESBORO DR,NASHVILLE,TN,HERMIT,36.14882,-86.64836,12,MOTOR VEHICLE IN TRANSPORT,142,37214,9413,21,5,4,206681,-9645651.3133,4321118.1436
20180005043,1/2/2018 10:35:00 PM,2,0,0,,Y,ANGLE,CLEAR,DAYLIGHT,THOMPSON LN & GRANDVIEW AV,NASHVILLE,TN,MIDTOW,36.11103,-86.7468,12,MOTOR VEHICLE IN TRANSPORT,143,37211,8519,21,1,4,212318,-9656609.6039,4315909.7033
20180005092,1/2/2018 11:15:00 PM,2,1,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,MURFREESBORO PKE & BROOKSBORO PL,ANTIOCH,TN,SOUTH,36.08423,-86.64745,12,MOTOR VEHICLE IN TRANSPORT,144,37013,8891,21,3,11,716886,-9645550.0125,4312217.4882
20180005109,1/2/2018 11:00:00 PM,2,1,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,HARDING PL & TROUSDALE DR,NASHVILLE,TN,MIDTOW,36.08115,-86.75861,12,MOTOR VEHICLE IN TRANSPORT,145,37220,8601,21,3,11,909486,-9657924.2871,4311793.2397
20180005116,1/2/2018 9:09:00 PM,2,0,0,,Y,UNKNOWN,CLEAR,UNKNOWN,LEBANON PKE & ANDREW JACKSON PKWY,HERMITAGE,TN,HERMIT,36.21617,-86.59904,14,PARKED MOTOR VEHICLE,146,37076,9537,21,9,9,179604,-9640161.036,4330406.9435
20180005137,1/2/2018 11:24:00 PM,2,0,0,,N,Front to Rear,CLEAR,DUSK,MM 79 5 I 65,NASHVILLE,TN,MIDTOW,36.10782,-86.7688,12,MOTOR VEHICLE IN TRANSPORT,147,37204,70042,21,5,11,240957,-9659058.6327,4315467.3977
20180005146,1/2/2018 10:22:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,HERMITAGE MARKETPLACE PVTDR & OLD HICKOR,HERMITAGE,TN,HERMIT,36.19349,-86.61697,39,WALL,148,37076,9507,21,1,0,807332,-9642156.9945,4327278.0637
20180005147,1/2/2018 6:00:00 AM,3,0,0,,Y,ANGLE,CLEAR,DARK - LIGHTED,ELM HILL PKE & PATIO DR,NASHVILLE,TN,HERMIT,36.14191,-86.64135,12,MOTOR VEHICLE IN TRANSPORT,149,37214,8945,21,3,4,197056,-9644870.9636,4320165.5793
20180005148,1/2/2018 11:23:00 PM,2,0,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,MM 49 2 I 24,NASHVILLE,TN,CENTRA,36.16309,-86.76157,12,MOTOR VEHICLE IN TRANSPORT,150,37213,1002,21,3,11,642287,-9658253.7928,4323085.5717
20180005155,1/2/2018 11:31:00 PM,2,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,OLD HARDING PKE & HICKS RD,NASHVILLE,TN,WEST,36.0727,-86.92647,12,MOTOR VEHICLE IN TRANSPORT,151,37221,4901,21,3,11,596389,-9676610.3769,4310629.3964
20180005183,1/2/2018 11:40:00 PM,2,0,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,MM 92 8 I 65,MADISON,TN,MADISO,36.27264,-86.7359,12,MOTOR VEHICLE IN TRANSPORT,152,37115,17062,21,3,11,151132,-9655396.2215,4338201.3563
20180005191,1/2/2018 11:40:00 PM,2,3,0,,N,ANGLE,CLEAR,DARK - LIGHTED,MCGAVOCK PKE & MURFREESBORO PKE,NASHVILLE,TN,SOUTH,36.11289,-86.68901,12,MOTOR VEHICLE IN TRANSPORT,153,37217,8835,21,3,4,240943,-9650176.4506,4316166.0008
20180005199,1/2/2018 11:47:00 PM,2,1,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,MM 79 7 I 65,NASHVILLE,TN,MIDTOW,36.10989,-86.77064,12,MOTOR VEHICLE IN TRANSPORT,154,37204,8504,21,3,11,909485,-9659263.4606,4315752.6208
20180005200,1/2/2018 6:00:00 AM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - NOT LIGHTED,KELLOW ST & 14TH AVN,NASHVILLE,TN,NORTH,36.19015,-86.81091,14,PARKED MOTOR VEHICLE,155,37208,4493,21,2,5,197070,-9663746.2965,4326817.3616
20180005231,1/2/2018 11:21:00 PM,4,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,MM 210 5 I 40,NASHVILLE,TN,HERMIT,36.15205,-86.76716,12,MOTOR VEHICLE IN TRANSPORT,156,37210,8202,21,3,11,256426,-9658876.0688,4321563.4376
20180005273,1/3/2018 12:13:00 AM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,MM 210 7 I 40,NASHVILLE,TN,HERMIT,36.15345,-86.76378,12,MOTOR VEHICLE IN TRANSPORT,157,37210,8202,21,3,5,256500,-9658499.8089,4321756.45
20180005283,1/2/2018 11:21:00 PM,2,0,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,NOLENSVILLE PKE & ALLIED DR,NASHVILLE,TN,MIDTOW,36.09689,-86.73805,12,MOTOR VEHICLE IN TRANSPORT,158,37211,8511,21,3,11,163667,-9655635.5584,4313961.4896
20180005294,1/3/2018 12:10:00 AM,2,0,0,,N,ANGLE,CLEAR,DARK - LIGHTED,WEDGEWOOD AV & 12TH AVS,NASHVILLE,TN,MIDTOW,36.13616,-86.78867,12,MOTOR VEHICLE IN TRANSPORT,159,37203,6913,21,3,4,240957,-9661270.551,4319372.9885
20180005302,1/3/2018 12:29:00 AM,2,0,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,MM 210 5 I 40,NASHVILLE,TN,HERMIT,36.15205,-86.76716,12,MOTOR VEHICLE IN TRANSPORT,160,37210,8202,21,3,11,256426,-9658876.0688,4321563.4376
20180005304,1/3/2018 12:00:00 AM,3,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,SKYLINE MEMORIAL CT & DICKERSON PKE,MADISON,TN,MADISO,36.24389,-86.75658,12,MOTOR VEHICLE IN TRANSPORT,161,37115,2009,21,3,5,151132,-9657698.3086,4334232.362
20180005337,1/3/2018 12:35:00 AM,2,0,0,,Y,Front to Rear,CLEAR,DARK - LIGHTED,I40 E EXT RAMP & I 40,NASHVILLE,TN,HERMIT,36.15041,-86.77049,12,MOTOR VEHICLE IN TRANSPORT,162,37214,8955,21,3,11,256505,-9659246.7627,4321337.3418
